comment,like,recom_cnt,unlike,url
"자체 비정규직인 알바 (맥날용어:크루)과다양성 악화 충성도 1위입니다
법망 박쥐처럼 피하며 얍삽한 편법1위
맥도날드가 선두가 되어 나쁜 규정 만들면 맥도날드 나쁜것 타기업에서 모방하는 것이 관례
직원들은 배부르고 알바들은 돈도 작은데 그기서 더 안주려고 용을 쓰면 시간클래임 할거면 알바필요없음",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004004889
존나게 갑질하는게 문제구만..,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=015&aid=0003775533
갑질이 갑질이재! 80년 전에 갑질해서 만든 기업이라 지금도 무급 9개월 이매장저매장 굴리가 철저히 본사에 복속시키는게 맞다소린기가?저임금 글로벌 착취기업이 머그리 대단노?,4,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=015&aid=0003775533
역시 재벌과 전경련이 만든 신문스럽네...,3,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=015&aid=0003775533
왜 거기 노동자는 없나요?,8,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=015&aid=0003775533
ㅋ노예들 씐나겟노-,2,3,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=015&aid=0003774961
"예선전 본선 이건 걸러내려고 하는거고 원래 맥날이 진급인지 승급인지 되면 인건비 올라가니깐 아까워서 해주지도 않는 주제에.... 뭐가 대단하다고 알바 선발을  임금이 싸니깐...
  직원을 대대적으로 모집선발하여 평창올림픽에 마춰 양성시키면 임금이 비싸니깐 ....",1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=015&aid=0003774961
여동생이나 딸을 가진 부모들이 알바때문에 타지에 보내는 것 과연 허락 할것 같나요 귀가시간이 늦어도 걱정되고 기다려지는데 어느부모가  보내겠나요.  지금 하는 짓이 뭔줄이나 아시나요 외국인 노동자들 한국와서 관광시켜주면서  임금이 싼 노동력 배치시키는 것과 유사합니다 직원들 임금이 비싸니깐 임금이 싼 알바를 업무에 활용하려고 알바면 20대초반 어린애들인데 이래서야 되겠습니까 타지역은 직원들이 배치되는게 정상 아닌가요 어린 20대초년생 현혹시키지 마시고 평창올림픽 가족들과 가서 관람해도 되오니 이익에 남기기에만 겁겁한것 아니고 뮙니까,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=015&aid=0003774961
맥도날드 세제와 세균 어느게 더 해로운지 궁금하다,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=366&aid=0000372060
맥도날드 당신들이 더한 악덕기업 아니냐? 가맹비며 서비스료7억원 맥도날드를 왜하나 몰라?,5,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003039512
"본사가 부르는 ""악덕""업주와의 문제로 본사가 강제 폐점했다 수익성보고 직영전환해서 장사한다 어느지점이 뉴스쳐서 광고 해줄일인지",5,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003039512
직원 채용 아님 파트 타임 알바 임금이 싼맛에 채용하려드네 차라리 불법채류자 구제해주는 용도의 일자리 하는게 나아요 맥도날드에게 물어보겠습니다 직원을 채용하면 200만원 발생되니 줄 자신 없을거에요 파트타임 88또는 77만원 줄 자신 있으시죠 그럼 이건 서민 일자리가 아님니다 파트타임 채용이라는 용어를 왜 숨기나요 알맹이만 빼고 채용박람회 흑수저 우롱하는거 아닌가요 서민파트타임 알바채용 이라고 글을 넣든가 알맹이 빼고 채용박람회 누가보면 계약직이나 직원모집하는걸로 착각하겠어요 지금 비정규직이나 사회알바문제가 되는걸 아는지,3,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0009290792
"활약은 선수들이 하는거고 크루는 철새들 먹여가며 뒤치닥거리 하는거지,,몸생각하는 선수들이 식단관리안하고 패푸 먹겠나마는",5,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0009290792
"저거  서민 일자리가 아님니다 파트타임 알바입니다 괜한 우리나라 흑수저들 제발 채용 하지 말아 주시길 맥도날드 임직원 또는직원 분들 자녀들 맥날에 파트타임(크루)알바 못하게 할거면서
맥날 직원들 본인 자식은 귀해서 남의자식은 함부로 해도 된다는 생각이면서 남의자식도 귀한자식입니다 그럼 파트 타임 대문짝만하게 알맹이를 명시하시고 모집하든가 유인하지마시길
 불법체류자를 구제해주는 용도의 일자리로  전환해야합니다",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0009290792
젠트리피케이션이 일어나지 않도록 노력하는 게 인상적이네,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0002720244
한번쯤 가보고 싶지만 살고 싶지는 않아.,3,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0002720244
체인점 없으면 가서 뭐 먹지...............,0,0,9,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0002720244
온갖 호화스러운 생활을 하는 인간들의 명상 놀이터를 미화하지 마라~~~,1,0,6,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0002720244
비정규직 아르바이트직 계약직 아르바이트지만 직원에 준하는 시간이나 업무나 노동력이나 싼임금에 악용해되니 사회적문제가 되며 새대통령 일자리정책대책에 민폐또는 악용 하지마시고 지금 모집하는거 아르바이트모집이잖아요 직원모집하는거 아니죠 정부에서 일자리정책대책이랑은 너무 안맞아요  대대적인 직원모집할 자신도 없으면서 싼임금 알바자리를 대거양산시켜 투잡 쓰리잡 양성시키는 주제에...    새로운대통령님이일자리정책이 알바 양성시키라고 정책 내놓은것 아닙니다,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0003999025
"200만원 줄 자신 없음
88만원 77만원66만원 55만원 줄 자신은 있어도 직원채용하면호봉적용에따라 편차는 있지만  대략 월급200만원에 통상적으로 적용되는 상여금400%(명칭은 업종마다 다를수있음) 성과금  기타 정규직에해당되는 복지해택  등등 비용이  마니드는데  임금이 싼 알바를 대대적모집을 하는거에요",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0003999025
알바구인을 티비광고까지 왜할까?그렇게 천국인데 왜 매니져 지원 안 하냐고??,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0003999025
"88올림픽때부터 쭈욱 상시모집이고 비정규직알바면서 최저시급대비 일이 많다고 소문난 주제에 ""통큰구인""이랜다.",4,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0003999025
다니엘군을 거니  작품이된 거  지금 그창렬보다  작년이 훨나은시그니쳐였쏘  자리까지 가져다도주고  전용용기제공도  했었지  심지어 고기도 버거종류도 줄여도 티비광고면 그럴싸하게 팔리죠,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003179832
