"","x"
"1","'스탠드 업 마임 변신 블랙코미디 이인극'이 대체 뭐야?http://omn.kr/mt7e"
"2","<세월호>의 티저 포스터는 그 조악함과 세월호 참사에 대한 몰이해를 바로 보여주는 증거였다. http://omn.kr/mt8d"
"3","세월호 인양을 생중계한 최대현 아나운서의 과거. http://omn.kr/mt9o"
"4","이쯤 되면 복싱 영화가 아니라, 사람과 사람에 대한 영화겠다.
http://omn.kr/mstn"
"5","화가 머리끝까지 치밀어 오른다. 그리곤 큼지막한 해머를 들고... http://omn.kr/mt0c"
"6","세월호가 침몰된 지 1073일 만에 수면위로 올라선 시점에서 이들의 망각에 저항하는 다큐영화인들의 노력은 더욱 의미를 부여받는다. http://omn.kr/mt8r"
"7","""세계 어느 나라의 관객이라도 공감할 수 있는 영화를 만들고 싶었다."" http://omn.kr/msyj"
"8","세계로 불어닥칠 트럼프의 불확실한 '나비효과'는 브라질이 아니라 엘파소와 후아레즈에서 시작될지도 모른다. http://omn.kr/mscl"
"9","이상은 평화롭고, 역사는 잔인하다. http://omn.kr/mqlh"
"10","LG가 또... http://omn.kr/mt5j"
"11","사랑이라는 감정이 일으킨 치유와 변화의 양상을 포착하여 화려한 판타지로 시각화한 것. http://omn.kr/msj9"
"12","""전국 방송에 나와서, 어떠한 연출도 없이 돼지와 성행위를 해야 합니다."" 권력자에게 찾아온 극한의 순간, 총리의 선택은?  http://omn.kr/msmw"
"13","""박 전 대통령 조사는 어떻게 진행되고 있습니까. 그러니까 예를 들면 식사를 했다라던가, 이런 얘기는 중요한 건 아닌 것 같고요."" http://omn.kr/mt5f"
"14","넷플릭스의 멤버십을 해지하겠다는 트위터 사용자도 적지 않았다. http://omn.kr/mt1e"
"15","<해빙>과 얼마전 개봉한 <싱글 라이더>는 공교롭게도 '가장의 몰락'을 다룬다. http://omn.kr/mr8u"
"16","조여정이 맡은 이은희 캐릭터에 대한 호기심은 이 드라마를 지탱하는 가장 큰 힘이다. http://omn.kr/msw7"
"17","JTBC의 성장은 눈부시다. http://omn.kr/msjk"
"18","""공영방송 MBC가 다시 한번 언론 적폐의 민낯을 드러냈다."" http://omn.kr/mt1g"
"19","각기 다른 상황에 놓인 3팀이 따뜻한 봄날 3월을 겨냥해 맞붙었다. http://omn.kr/msgx"
"20","나이 들길 기다렸다는 그의 말은 곧 앞으로 해야 할 것, 하고 싶은 것들이 많다는 말의 동의어다. http://omn.kr/mt0w"
"21","창의적인 사고와 자유로운 상상 그리고 긍정의 힘.  http://omn.kr/msnj"
"22","""평소 시사를 주제로 삼는 토론 형식의 프로그램이라면 출연이 제한되지 않는다."" http://omn.kr/msyv"
"23","영진위가 초안을 잡은 글을 외부 인사가 언론에 기고했는가. http://omn.kr/msxr"
"24","<모아나>에 이어 <미녀와 야수>까지 관람하고 나자, 디즈니가 스스로 만들어낸 '공주'에 대한 고정적인 이미지를 스스로 재구성하고자 하는 의지를 보인다는 추측은 좀 더 확실해졌다."
"25","""우연한 기회에 안희정 지사를 만나게 됐고, 그의 패러다임 변화 의지를 지지한다"" http://omn.kr/msve"
